Choose a page replacement algorithm:
Press 1 for FIFO
Press 2 for LRU
Press 3 for Second Chance
Your choice: 
Option chosen: 1
Choose page frame size:
Press 1 for 4-page frames
Press 2 for 8-page frames
Your choice: 
option chosen: 2
Running FIFO:
timestamp: 1647296399471432, page:  5, pagefault: 1
timestamp: 1647296399471433, page:  1, pagefault: 0
timestamp: 1647296399471434, page: 15, pagefault: 0
timestamp: 1647296399471435, page:  8, pagefault: 0
timestamp: 1647296399471436, page:  5, pagefault: 0
timestamp: 1647296399471437, page:  7, pagefault: 1
timestamp: 1647296399471438, page:  5, pagefault: 0
timestamp: 1647296399471442, page:  7, pagefault: 0
timestamp: 1647296399471442, page:  3, pagefault: 0
timestamp: 1647296399471442, page:  4, pagefault: 1
timestamp: 1647296399471442, page: 15, pagefault: 0
timestamp: 1647296399471442, page: 15, pagefault: 0
timestamp: 1647296399471443, page:  7, pagefault: 0
timestamp: 1647296399471444, page:  6, pagefault: 1
timestamp: 1647296399471445, page: 11, pagefault: 1
timestamp: 1647296399471446, page:  8, pagefault: 1
timestamp: 1647296399471447, page:  1, pagefault: 0
timestamp: 1647296399471448, page:  9, pagefault: 1
timestamp: 1647296399471449, page: 10, pagefault: 1
timestamp: 1647296399471451, page:  1, pagefault: 0
timestamp: 1647296399471452, page:  2, pagefault: 1
timestamp: 1647296399471453, page:  9, pagefault: 0
timestamp: 1647296399471454, page:  2, pagefault: 0
timestamp: 1647296399471455, page:  4, pagefault: 1
timestamp: 1647296399471456, page: 14, pagefault: 1
timestamp: 1647296399471457, page:  0, pagefault: 1
timestamp: 1647296399471458, page: 13, pagefault: 1
timestamp: 1647296399471459, page:  6, pagefault: 1
timestamp: 1647296399471460, page:  4, pagefault: 0
timestamp: 1647296399471461, page: 11, pagefault: 1
timestamp: 1647296399471503, page: 14, pagefault: 1
timestamp: 1647296399471504, page:  2, pagefault: 0
timestamp: 1647296399471505, page: 14, pagefault: 0
timestamp: 1647296399471506, page: 12, pagefault: 1
timestamp: 1647296399471507, page: 13, pagefault: 1
timestamp: 1647296399471508, page:  1, pagefault: 1
timestamp: 1647296399471509, page: 10, pagefault: 1
timestamp: 1647296399471510, page: 11, pagefault: 0
timestamp: 1647296399471511, page:  1, pagefault: 0
timestamp: 1647296399471512, page: 10, pagefault: 0
timestamp: 1647296399471513, page: 15, pagefault: 1
timestamp: 1647296399471514, page:  5, pagefault: 1
timestamp: 1647296399471515, page:  0, pagefault: 1
timestamp: 1647296399471516, page:  1, pagefault: 0
timestamp: 1647296399471517, page:  2, pagefault: 0
timestamp: 1647296399471518, page:  2, pagefault: 0
timestamp: 1647296399471519, page: 10, pagefault: 0
timestamp: 1647296399471520, page: 13, pagefault: 1
timestamp: 1647296399471521, page:  4, pagefault: 1
timestamp: 1647296399471522, page:  7, pagefault: 1
timestamp: 1647296399471523, page: 12, pagefault: 1
timestamp: 1647296399471524, page: 12, pagefault: 0
timestamp: 1647296399471525, page: 12, pagefault: 0
timestamp: 1647296399471526, page: 12, pagefault: 0
timestamp: 1647296399471527, page:  2, pagefault: 0
timestamp: 1647296399471530, page:  6, pagefault: 1
total pagefaults: 52
